CMPD_CHEMBLID SMILES PIC50_VALUE REFERENCE CLASE ID_CLASE
CHEMBL3608381 COc1cc(ccc1-c1ccnc(C)c1)-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O 8.10 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3394945 Cc1cn(cn1)-c1ccc2C(=O)N(Cc3cn(C)c4c(F)cc(cc34)C(F)(F)F)CCn2c1=O 8.05 Pettersson2015a f-piridopirazinediona 22
CHEMBL2151100 CCc1cc(Nc2nc(-c3ccc(-n4cnc(C)c4)c(F)c3)cs2)c(C)cc1C 8.00 Kounnas2010 f-tiazoles 21
COMPOUNDNGP38 CCc4cc(Nc3nc(c2ccc(n1cnc(C)c1)c(OC)c2)cs3)c(C)cc4C 8.00 Kounnas2010 f-tiazoles 21
COMPOUND000K7 COc4cc(C)c(CN(C(=O)Nc2ccc(n1cnc(C)c1)c(F)c2)C3CC3)cc4C(C)C 7.23 Kounnas2010 f-otros 28
COMPOUND000K1 CCN(CC)c4ccc(Nc3nc(c2ccc(n1ccnc1)cc2)cs3)c(C)c4 5.82 Kounnas2010 f-tiazoles 21
COMPOUND000K6 Cc4cn(c3ccc(c2csc(Nc1cc(C(C)C)c(OCCN(C)C)cc1C)n2)cc3F)cn4 7.44 Kounnas2010 f-tiazoles 21
CHEMBL3609752 COc1cc(ccc1-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O)-n1cnc(C)c1 7.96 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3352824 COc1cc(ccc1-n1cnc(C)c1)-c1nc(Nc2cc(ccc2F)C(F)(F)F)n(C)n1 7.96 Velter2014 f-triazoles 17
COMPOUND00H11 COc4cc(/C=C/1O[C@@H](C)CN2C1=NOC[C@@H]2c3cc(F)c(F)c(F)c3)ccc4n5cnc(C)c5 7.34 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H09 COc4cc(/C=C/1O[C@@H](C)CN2C1=NOC[C@@H]2c3cc(F)cc(F)c3)ccc4n5cnc(C)c5 7.46 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H10 COc4cc(/C=C/1O[C@H](C)CN2C1=NOC[C@@H]2c3cc(F)cc(F)c3)ccc4n5cnc(C)c5 7.80 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H12 COc4cc(/C=C/1O[C@H](C)CN2C1=NOC[C@@H]2c3cc(F)c(F)c(F)c3)ccc4n5cnc(C)c5 7.96 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H04 COc4cc(/C=C/1CCCN2C1=NOCC2(C)c3ccc(F)cc3)ccc4n5cnc(C)c5 6.64 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H05 COc4cc(/C=C/1CCCN2C1=NOCC2(CO)c3ccc(F)cc3)ccc4n5cnc(C)c5 4.88 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H06 COc5cc(/C=C/1CCCN2C1=NOCC24CCOc3ccc(F)cc34)ccc5n6cnc(C)c6 6.40 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H4P COc4cc(/C=C/1CCCN2C1=NOC2(C)c3ccc(F)cc3)ccc4n5cnc(C)c5 7.24 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H5P COc4cc(/C=C/1CCCN2C1=NOC2(CO)c3ccc(F)cc3)ccc4n5cnc(C)c5 7.12 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H6P COc5cc(/C=C/1CCCN2C1=NOC24CCOc3ccc(F)cc34)ccc5n6cnc(C)c6 7.24 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7A COc3cc(/C=C/1CCCN2CC(CO)ON=C12)ccc3n4cnc(C)c4 5.27 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7C COc4cc(/C=C/2CCCN3CC(COCc1ccccc1)ON=C23)ccc4n5cnc(C)c5 6.60 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7D COc4cc(/C=C/2CCCN3CC(COc1ccccc1)ON=C23)ccc4n5cnc(C)c5 6.85 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7E COc4cc(/C=C/2CCCN3CC(C(O)c1cc(F)cc(F)c1)ON=C23)ccc4n5cnc(C)c5 7.12 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7F COc4cc(/C=C/2CCCN3CC(Cc1ccccc1)ON=C23)ccc4n5cnc(C)c5 7.08 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7G COc4cc(/C=C/2CCCN3CC(c1ccccc1)ON=C23)ccc4n5cnc(C)c5 6.68 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7H COc5cc(/C=C/3CCCN4CC(c1cccc2ccccc12)ON=C34)ccc5n6cnc(C)c6 6.89 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7I COc4cc(/C=C/2CCCN3CC(c1cc(F)c(F)c(F)c1)ON=C23)ccc4n5cnc(C)c5 7.32 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7J COc4cc(/C=C/2CCCN3CC(c1cnccn1)ON=C23)ccc4n5cnc(C)c5 5.05 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H7K COc4cc(/C=C/2CCCN3CC(c1nccn1C)ON=C23)ccc4n5cnc(C)c5 5.17 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8A COc3cc(/C=C/1CCCN2CCON=C12)ccc3n4cnc(C)c4 5.51 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8B COc3cc(/C=C/1CCCN2C(=O)CON=C12)ccc3n4cnc(C)c4 5.60 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8C COc3cc(/C=C/1CCCN2C1=NOC[C@@H]2C(C)C)ccc3n4cnc(C)c4 6.28 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8D COc3cc(/C=C/1CCCN2C1=NOC[C@@H]2CC(C)C)ccc3n4cnc(C)c4 7.14 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8E COc3cc(/C=C/1CCCN2C1=NOC[C@@H]2C(C)(C)C)ccc3n4cnc(C)c4 6.92 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8F COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2C3CCOCC3)ccc4n5cnc(C)c5 5.72 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8G COc3cc(/C=C/1CCCN2C1=NOC[C@@H]2CO)ccc3n4cnc(C)c4 5.48 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8H COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2COCc3ccccc3)ccc4n5cnc(C)c5 7.00 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8I COc4cc(/C=C/1CCCN2C1=NOC[C@H]2C(O)c3ccc(Cl)cc3)ccc4n5cnc(C)c5 6.52 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8J COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2Cc3ccccc3)ccc4n5cnc(C)c5 7.10 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8K CCc5csc(C[C@H]4CON=C3/C(=C/c2ccc(n1cnc(C)c1)c(OC)c2)CCCN34)n5 5.19 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8L COc3cc(/C=C/1CCCN2C1=NOC[C@@H]2CS(C)(=O)=O)ccc3n4cnc(C)c4 4.72 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8M COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2CNC(=O)c3cccc(Cl)c3)ccc4n5cnc(C)c5 6.09 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8N COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2CN3CCOCC3)ccc4n5cnc(C)c5 5.43 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8O COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2CC(=O)N3CCCCC3)ccc4n5cnc(C)c5 5.82 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8P COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2c3ccccc3)ccc4n5cnc(C)c5 7.06 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8Q COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2c3ccc(F)cc3)ccc4n5cnc(C)c5 7.43 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8R COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2c3cc(F)cc(Cl)c3)ccc4n5cnc(C)c5 7.41 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8S COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2c3cc(F)c(F)c(F)c3)ccc4n5cnc(C)c5 7.48 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00H8T COc4cc(/C=C/1CCCN2C1=NOC[C@@H]2c3cc(F)c(OC)c(F)c3)ccc4n5cnc(C)c5 7.36 Huang2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
CHEMBL3609755 COc1c(F)c(ccc1-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O)-n1cnc(C)c1 7.89 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3353086 COc1cc(ccc1-n1cnc(C)c1)-c1nc(Nc2cccc(c2)C(F)(F)F)n(C)n1 7.82 Velter2014 f-triazoles 17
COMPOUND0RO02 COc3cc(Nc2nc(Cc1ccc(Cl)cc1)cc(C(C)(C)O)n2)ccc3n4cnc(C)c4 7.82 Ebke2011 f-otros 28
COMPOUND0RO03 COc3cc(Nc2nc(c1ccc(C(F)(F)F)cc1)cc(C(C)(C)O)n2)ccc3n4cnc(C)c4 7.55 Ebke2011 f-otros 28
COMPOUNDE2012 COc3cc(/C=C/2CCCN([C@@H](C)c1ccc(F)cc1)C2=O)ccc3n4cnc(C)c4 7.12 Ebke2011 f-otros 28
COMPOUND00ES2 COc4cc(/C=C/3CCC2COCC(c1cc(F)c(F)c(F)c1)N2C3=O)ccc4n5cnc(C)c5 7.40 Kretner2011 f-otros 28
COMPOUND00TP1 CCN(CC)c4ccc(C)c(Nc3nc(c2ccc(n1cnc(C)c1)nc2)cs3)c4 7.37 Ebke2011-2 f-tiazoles 21
COMPOUND00TP2 CCN(CC)c4ccc(C)c(Nc3nc(c2ccc(n1cnc(C)c1)cc2)cs3)c4 7.35 Kretner2011-2 f-tiazoles 21
CHEMBL3394934 CCn1cc(CN2CCn3c(ccc(-n4cnc(C)c4)c3=O)C2=O)c2cc(ccc12)C(F)(F)F 7.77 Pettersson2015a f-piridopirazinediona 22
CHEMBL3580766 Cc1cn(cn1)-c1ccc2C(=O)N(CCOc3ccccc3-c3cc(no3)C(F)(F)F)CCn2c1=O 7.77 Pettersson2015b f-piridopirazinediona 22
CHEMBL3580764 Cc1cn(cn1)-c1ccc2C(=O)N(CCOc3ccccc3-c3csc(n3)C(F)(F)F)CCn2c1=O 7.74 Pettersson2015b f-piridopirazinediona 22
CHEMBL3353099 COc1nc(ccc1-n1cnc(C)c1)-c1nc(Nc2cc(ccc2F)C(F)(F)F)n(C)n1 7.72 Velter2014 f-triazoles 17
CHEMBL3394928 Cc1cn(cn1)-c1ccc2C(=O)N(Cc3cccc4ccc(cc34)C(F)(F)F)CCn2c1=O 7.72 Pettersson2015a f-piridopirazinediona 22
CHEMBL3580772 C[C@H](c1cc(F)ccc1OCCN1CCn2c(ccc(-n3cnc(C)c3)c2=O)C1=O)C(F)(F)F 7.70 Pettersson2015b f-piridopirazinediona 22
CHEMBL3353096 COc1cc(ccc1-n1cnc(C)c1)-c1nc(Nc2cc(ccc2F)N(C)C)n(C)n1 7.66 Velter2014 f-triazoles 17
CHEMBL3394942 Cc1cn(cn1)-c1ccc2C(=O)N(Cc3cn(C)c4ccc(cc34)C(F)(F)F)CCn2c1=O 7.66 Pettersson2015a f-piridopirazinediona 22
CHEMBL3353091 COc1cc(ccc1-n1cnc(C)c1)-c1nc(Nc2cccc(OC(F)(F)F)c2)n(C)n1 7.60 Velter2014 f-triazoles 17
CHEMBL3580767 Cc1cn(cn1)-c1ccc2C(=O)N(CCOc3ccc(F)c4nc(sc34)C(F)(F)F)CCn2c1=O 7.60 Pettersson2015b f-piridopirazinediona 22
CHEMBL3608392 COc1cc(ccc1-c1cnn(C)c1)-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O 7.59 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3353560 CCn1nc(nc1Nc1cc(ccc1F)C(F)(F)F)-c1ccc(c(OC)c1)-n1cnc(C)c1 7.59 Velter2014 f-triazoles 17
CHEMBL3353092 COc1cc(ccc1-n1cnc(C)c1)-c1nc(Nc2ccc(cc2)C(F)(F)F)n(C)n1 7.57 Velter2014 f-triazoles 17
CHEMBL3608383 COc1cc(ccc1-n1cc(C)nc1C)-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O 7.55 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3608380 COc1cc(ccc1-c1sc(C)nc1C)-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O 7.55 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3608390 COc1cc(cnc1-n1cnc(C)c1)-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O 7.54 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3580771 Cc1cn(cn1)-c1ccc2C(=O)N(CCOc3ccc(F)cc3C(C)(C)C(F)(F)F)CCn2c1=O 7.52 Pettersson2015b f-piridopirazinediona 22
COMPOUNDW0049 CCn2nc1CCCCc1c2Nc5nc(c4ccc(n3cnc(C)c3)c(OC)n4)cs5 7.52 Wagner2014 f-tiazoles 21
COMPOUNDW0045 CCCn1nc(C(C)(C)C)cc1Nc4nc(c3ccc(n2cnc(C)c2)c(OC)c3)cs4 6.73 Wagner2014 f-tiazoles 21
COMPOUNDW0037 CCn1nc(C(C)(C)C)cc1Nc4nc(c3ccc(n2cnc(C)c2)c(OC)c3)cs4 6.76 Wagner2014 f-tiazoles 21
COMPOUNDW0033 COc4cc(c3csc(Nc2c1CCCCc1nn2C)n3)ccc4n5cnc(C)c5 6.78 Wagner2014 f-tiazoles 21
COMPOUNDW0032 Cc5cn(c4ccc(c3csc(Nc2c1CCCCc1nn2C)n3)cc4F)cn5 6.84 Wagner2014 f-tiazoles 21
COMPOUNDW0040 CCn2nc1CCCCc1c2Nc5nc(c4ccc(n3cnc(C)c3)c(F)c4)cs5 7.02 Wagner2014 f-tiazoles 21
CHEMBL3609749 COc1cc(ccc1-n1cnc(C)c1)-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O 7.51 Methot2015 f-triazolbenzazepinonas 18
COMPOUND00S53 COc4cc(C=C1CCCN2C1=NOCC2c3cc(F)c(F)c(F)c3)ccc4n5cnc(C)c5 7.48 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00S5A COc4cc(C=C1CCCN2C1=NOC2(CO)c3ccc(F)cc3)ccc4n5cnc(C)c5 7.24 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00S2A COc4cc(C=C1CCCN2C1=NOC2(C)c3ccc(F)cc3)ccc4n5cnc(C)c5 7.54 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND0S20A COc4cc(/C=C/1CCCN2C1=NOC2(CO)c3ccccc3)ccc4n5cnc(C)c5 7.02 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND0S21A COc4cc(/C=C/1CCCN2C1=NOC2(CO)c3cccc(F)c3)ccc4n5cnc(C)c5 7.59 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND0S22A COc4cc(/C=C/1CCCN2C1=NOC2(CO)c3ccccc3F)ccc4n5cnc(C)c5 7.28 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND0S23A COc4cc(/C=C/1CCCN2C1=NOC2(CO)c3ccc(C#N)cc3)ccc4n5cnc(C)c5 6.93 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND0S24A COc4cc(/C=C/1CCCN2C1=NOC2(CO)c3cc(F)cc(F)c3)ccc4n5cnc(C)c5 7.68 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND0S25A COc4cc(/C=C/1CCCN2C1=NOC2(CO)c3cc(F)c(F)c(F)c3)ccc4n5cnc(C)c5 7.82 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND0S11A COc4cc(/C=C/1CCCN2C1=NO[C@@]2(c3ccc(F)cc3)[C@H](C)O)ccc4n5cnc(C)c5 7.34 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND0S11B COc4cc(/C=C/1CCCN2C1=NO[C@@]2(c3ccc(F)cc3)C(C)O)ccc4n5cnc(C)c5 7.05 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00S35 COC[C@]5(c1ccc(F)cc1)ON=C4/C(=C/c3ccc(n2cnc(C)c2)c(OC)c3)CCCN45 6.91 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00S36 CNC[C@]5(c1ccc(F)cc1)ON=C4/C(=C/c3ccc(n2cnc(C)c2)c(OC)c3)CCCN45 6.72 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00S37 COc4cc(/C=C/1CCCN2C1=NO[C@]2(CN(C)C)c3ccc(F)cc3)ccc4n5cnc(C)c5 6.71 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00S38 COc4cc(/C=C/1CCCN2C1=NO[C@]2(CNCCO)c3ccc(F)cc3)ccc4n5cnc(C)c5 7.10 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00S39 COc4cc(/C=C/1CCCN2C1=NO[C@]2(CN(C)C(C)=O)c3ccc(F)cc3)ccc4n5cnc(C)c5 6.70 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00S40 COc4cc(/C=C/1CCCN2C1=NO[C@]2(CN(C)S(C)(=O)=O)c3ccc(F)cc3)ccc4n5cnc(C)c5 7.14 Sun2012 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
CHEMBL3394943 Cc1cn(cn1)-c1ccc2C(=O)N(Cc3cn(C)c4ccc(c(F)c34)C(F)(F)F)CCn2c1=O 7.46 Pettersson2015a f-piridopirazinediona 22
CHEMBL3769671 Cc1cn(cn1)-c1ccc2Nc3nc(Cc4ccccc4)sc3CCc2c1 7.46 Shi2016 f-tiazoles 21
CHEMBL3353556 Cc1cn(cn1)-c1ccc(cc1C#N)-c1nc(Nc2cc(ccc2F)C(F)(F)F)n(C)n1 7.44 Velter2014 f-triazoles 17
CHEMBL3608387 COc1c(F)c(ccc1-n1cnc(C)c1)-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O 7.44 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3609750 COc1cc(ccc1-n1ccnc1C)-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O 7.42 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3394933 CCn1cc(CN2CCn3c(ccc(-n4cnc(C)c4)c3=O)C2=O)c2cc(Cl)ccc12 7.42 Pettersson2015a f-piridopirazinediona 22
COMPOUND00L8C COc4cc(/C=C/1CCCN2C1=NOC[C@@H](C)[C@@H]2c3cc(F)cc(F)c3)ccc4n5cnc(C)c5 6.62 Li2013 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00L7G COc4cc(/C=C/1CCCN2C1=NOCC[C@@H]2c3ccc(F)c(Cl)c3)ccc4n5cnc(C)c5 7.40 Li2013 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00L7H COc4cc(/C=C/1CCCN2C1=NOCC[C@@H]2c3ccc(Cl)c(F)c3)ccc4n5cnc(C)c5 7.02 Li2013 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00L7I COc4cc(/C=C/1CCCN2C1=NOCC[C@@H]2c3cc(F)c(F)c(F)c3)ccc4n5cnc(C)c5 7.41 Li2013 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00L7C COc4cc(/C=C/1CCCN2C1=NOCC[C@@H]2c3cc(F)cc(F)c3)ccc4n5cnc(C)c5 7.43 Li2013 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00L7D COc4cc(/C=C/1CCCN2C1=NOCC[C@@H]2c3ccc(F)c(F)c3)ccc4n5cnc(C)c5 7.62 Li2013 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00L7E COc4cc(/C=C/1CCCN2C1=NOCC[C@@H]2c3ccc(F)cc3F)ccc4n5cnc(C)c5 7.28 Li2013 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
COMPOUND00L7F COc4cc(/C=C/1CCCN2C1=NOCC[C@@H]2c3cc(F)cc(Cl)c3)ccc4n5cnc(C)c5 7.80 Li2013 f-oxadiazolinas-oxadiazepinas-oxadiazinas 20
CHEMBL3353562 COc1cc(ccc1-n1cnc(C)c1)-c1nc(Nc2cc(ccc2F)C(F)(F)F)n(CCC#N)n1 7.39 Velter2014 f-triazoles 17
CHEMBL3394927 Cc1cn(cn1)-c1ccc2C(=O)N(Cc3cccc4ccc(Cl)cc34)CCn2c1=O 7.38 Pettersson2015a f-piridopirazinediona 22
CHEMBL3609759 COc1cc(ccc1-n1cnc(C)n1)-c1cn(nn1)[C@H]1CCc2c(F)cccc2N(CC(F)(F)F)C1=O 7.38 Methot2015 f-triazolbenzazepinonas 18
CHEMBL3394932 COn1cc(CN2CCn3c(ccc(-n4cnc(C)c4)c3=O)C2=O)c2cc(Cl)ccc12 7.36 Pettersson2015a f-piridopirazinediona 22
COMPOUND00H35 COc3cc(Nc2cc(C(F)F)cn([C@@H](C)c1ccc(F)cc1)c2=O)ccc3n4cnc(C)c4 7.36 Huang2010 f-piridona-piridazona 23
COMPOUND00H34 COc3cc(Nc2cc(CO)cn([C@@H](C)c1ccc(F)cc1)c2=O)ccc3n4cnc(C)c4 7.32 Huang2010 f-piridona-piridazona 23
